HJD,MAG,ERR,SRV
858.88103,0.1479999999999997,0.009,OGLE-III
887.86549,-0.0389999999999997,0.009,OGLE-III
895.84389,0.12900000000000134,0.009,OGLE-III
898.8563,-0.07000000000000028,0.008,OGLE-III
911.92035,-0.0909999999999993,0.008,OGLE-III
918.81111,0.06299999999999883,0.009,OGLE-III
925.86637,-0.017999999999998906,0.008,OGLE-III
936.71597,-0.01699999999999946,0.008,OGLE-III
962.68038,-0.07399999999999984,0.008,OGLE-III
985.73654,-0.06899999999999906,0.008,OGLE-III
991.74434,-0.036999999999999034,0.008,OGLE-III
997.65355,0.12600000000000122,0.009,OGLE-III
1006.60009,0.1269999999999989,0.012,OGLE-III
1021.61242,-0.09299999999999997,0.009,OGLE-III
1041.5713,-0.045999999999999375,0.008,OGLE-III
1068.61849,0.09199999999999875,0.009,OGLE-III
1072.62839,0.10200000000000031,0.01,OGLE-III
1076.64598,-0.1039999999999992,0.009,OGLE-III
1079.61975,0.09199999999999875,0.011,OGLE-III
1087.62688,-0.09399999999999942,0.01,OGLE-III
1089.60918,0.15399999999999991,0.012,OGLE-III
1092.55157,-0.0519999999999996,0.009,OGLE-III
1102.57865,-0.08900000000000041,0.009,OGLE-III
1107.58174,-0.03999999999999915,0.008,OGLE-III
1226.87073,-0.017999999999998906,0.01,OGLE-III
1230.88146,0.13500000000000156,0.01,OGLE-III
1239.88908,-0.08000000000000007,0.01,OGLE-III
1242.8848,0.06899999999999906,0.01,OGLE-III
1245.89855,-0.07000000000000028,0.01,OGLE-III
1253.81105,-0.0779999999999994,0.009,OGLE-III
1256.90489,-0.058999999999999275,0.009,OGLE-III
1258.90244,0.11400000000000077,0.012,OGLE-III
1261.86361,-0.05799999999999983,0.009,OGLE-III
1265.90448,-0.03200000000000003,0.009,OGLE-III
1268.77922,0.04100000000000037,0.01,OGLE-III
1278.90058,-0.04100000000000037,0.009,OGLE-III
1280.89139,0.10999999999999943,0.01,OGLE-III
1288.9106,-0.11999999999999922,0.008,OGLE-III
1289.76733,0.10900000000000176,0.01,OGLE-III
1290.91385,0.10900000000000176,0.01,OGLE-III
1294.89059,-0.05400000000000027,0.01,OGLE-III
1295.88998,0.10500000000000043,0.01,OGLE-III
1297.79067,-0.11399999999999899,0.009,OGLE-III
1299.71233,0.10999999999999943,0.01,OGLE-III
1305.92725,-0.09499999999999886,0.009,OGLE-III
1306.90655,0.06800000000000139,0.009,OGLE-III
1307.92873,0.14499999999999957,0.01,OGLE-III
1312.75799,-0.03500000000000014,0.008,OGLE-III
1313.92866,0.1280000000000001,0.01,OGLE-III
1315.768,0.10300000000000153,0.009,OGLE-III
1317.69686,-0.09399999999999942,0.008,OGLE-III
1317.92684,-0.006000000000000227,0.01,OGLE-III
1318.92991,0.15000000000000213,0.01,OGLE-III
1320.751,0.045999999999999375,0.009,OGLE-III
1321.93249,-0.08999999999999986,0.011,OGLE-III
1328.62902,-0.09600000000000009,0.014,OGLE-III
1332.74926,0.14700000000000202,0.019,OGLE-III
1335.79579,-0.0779999999999994,0.008,OGLE-III
1338.80181,0.14499999999999957,0.01,OGLE-III
1339.87246,0.15800000000000125,0.011,OGLE-III
1340.7834,-0.0649999999999995,0.01,OGLE-III
1342.76953,0.009000000000000341,0.008,OGLE-III
1346.72571,-0.08499999999999908,0.008,OGLE-III
1354.61744,-0.08199999999999896,0.009,OGLE-III
1365.58607,-0.11299999999999955,0.009,OGLE-III
1370.62126,-0.02999999999999936,0.009,OGLE-III
