HJD,MAG,ERR
5260.89178,15.690,0.006
5261.82270,15.852,0.006
5262.86030,16.076,0.013
5265.87881,16.071,0.007
5266.82505,16.187,0.007
5267.85232,15.744,0.006
5268.85473,16.049,0.007
5269.81840,16.078,0.007
5270.82406,15.513,0.005
5271.81960,15.891,0.006
5272.82474,16.080,0.007
5273.80973,15.375,0.005
5274.82830,15.829,0.006
5275.81457,16.042,0.007
5276.79275,16.163,0.007
5277.84878,15.787,0.006
5278.82485,16.037,0.007
5279.82612,16.160,0.008
5280.83272,15.621,0.005
5281.81267,15.922,0.006
5282.83541,16.078,0.007
5283.79542,15.326,0.005
5283.88687,15.691,0.006
5284.80111,15.808,0.007
5285.79190,16.059,0.007
5285.92239,16.176,0.010
5286.80759,15.925,0.007
5287.86076,15.870,0.006
5288.78611,16.013,0.007
5289.83800,16.085,0.007
5293.86595,15.685,0.006
5294.83609,15.941,0.006
5295.83951,16.076,0.007
5296.87892,15.583,0.005
5297.91485,16.013,0.007
5300.85639,15.828,0.006
5301.86527,16.050,0.007
5306.85041,15.565,0.005
5307.85077,15.943,0.006
5308.83991,16.068,0.007
5309.89482,15.597,0.005
5310.89361,15.947,0.006
5312.75019,16.091,0.007
5313.78658,15.557,0.006
5314.71471,15.759,0.007
5314.92633,16.073,0.007
5315.85513,16.177,0.007
5316.81044,15.491,0.007
5320.64523,16.070,0.007
5320.85189,15.906,0.007
5321.79516,16.055,0.007
5323.68147,16.097,0.007
5323.90585,15.956,0.007
5324.83927,16.049,0.007
5325.75264,16.072,0.007
5326.63837,16.074,0.007
5326.87925,15.788,0.006
5327.82712,15.970,0.007
5328.75635,16.026,0.005
5329.71124,16.133,0.007
5334.87820,16.083,0.007
5335.85346,15.451,0.005
5336.93915,15.987,0.007
5337.94039,16.112,0.009
5339.69871,16.143,0.007
5340.65739,15.388,0.006
5340.91582,16.047,0.010
5341.84704,16.080,0.007
5342.67445,16.069,0.008
5342.87059,15.593,0.006
5343.70419,15.441,0.006
5343.91061,16.048,0.007
5348.84499,16.108,0.007
5349.78221,15.456,0.005
5350.73412,15.775,0.007
5351.89274,15.908,0.007
5352.88913,15.726,0.006
5353.82162,15.891,0.007
5354.83308,16.068,0.007
5355.77697,16.176,0.007
5357.77819,16.008,0.007
5359.74029,15.340,0.005
5361.68488,16.020,0.007
5364.52756,15.417,0.006
5365.58985,16.007,0.007
5368.63185,16.029,0.007
5376.64797,15.330,0.006
5376.84234,15.949,0.007
5377.53703,15.401,0.006
5377.77983,16.054,0.007
5378.70016,16.068,0.007
5379.50663,16.046,0.007
5379.81039,15.796,0.006
5380.51804,16.130,0.007
5380.70250,15.844,0.006
5381.55437,15.802,0.007
5381.76814,16.058,0.008
5382.64278,16.116,0.007
5383.74221,15.842,0.007
5383.75477,15.869,0.007
5385.85269,15.702,0.006
