ID,PeriodOGLE,TemplateStart,TemplateEnd,PeriodPeriodogram
OGLE-BLG-RRLYR-09998,0.3603214,6120,6130,
OGLE-BLG-RRLYR-10100,0.41743842,5310,5330,
OGLE-BLG-RRLYR-10390,0.28294273,5730,5750,
OGLE-BLG-RRLYR-10932,0.38792243,7180,7200,
OGLE-BLG-RRLYR-11174,0.35211309,7180,7200,
OGLE-BLG-RRLYR-11236,0.34947807,7190,7200,
OGLE-BLG-RRLYR-11557,0.39308367,7750,8000,
OGLE-BLG-RRLYR-12014,0.3549329,7750,8000,
OGLE-BLG-RRLYR-12194,0.27686815,6100,6150,
OGLE-BLG-RRLYR-12212,0.34404211,7180,7190,
OGLE-BLG-RRLYR-13166,0.38809399,7180,7190,
OGLE-BLG-RRLYR-13722,0.363242,6100,6250,
